grandeur,valeur
debit_suspension_m3_j,0.02
volume_min_m3,0.5
diametre_sans_tube_m,0.8095300210017602
hauteur_m,1.23
niveau_m,0.984
volume_total_m3,0.6495651218341862
volume_gaz_m3,0.12991302436683724
volume_tube_m3,0.006267079832060702
volume_utile_m3,0.5133850176352883
trh_j,25.669250881764416
marge_volume_m3,0.013385017635288321
trh_volume_actif_j,24.385788337676196
ms_suspension_fraction,0.1
cov_illustrative_kgMV_m3_j,3.506140495277816
longueur_helice_m,30.169897938249562
longueur_hydraulique_m,35.16989793824956
surface_active_m2,1.5165044755577388
jeu_radial_m,0.10199999999999998
jeu_vertical_m,0.034
sommet_tube_m,0.888
niveau_apres_retrait_m,0.9461285084849743
immersion_apres_retrait_m,0.058128508484974306
K_lateral_liquide_W_K,1.3936246486791477
K_lateral_gaz_W_K,0.3484061621697869
K_disque_W_K,0.3802332420492799
K_enveloppe_W_K,3.0024972949474944
pertes_enveloppe_W,45.037459424212415
alimentation_kWh_j,0.34833333333333333
maintien_W,59.5513483131013
cuve_kWh_j,1.4292323595144312
total_previsionnel_kWh_j,2.149232359514431
debit_eau_kg_s,0.009919999999999998
C_eau_W_K,41.465599999999995
vitesse_eau_m_s,0.06496120126199809
Re,1381.5944305155122
De,211.0420352522247
hw_W_m2K,164.7
resistance_fixe_m2K_W,0.009170405948250531
U_W_m2K,34.281319285512865
UA_W_K,51.987774124504085
G_W_K,29.630053003100564
puissance_consigne_W,296.3005300310056
sortie_eau_C,37.85430501352915
DT_log_K,5.699427125335347
f_Darcy,0.09178863883227922
pression_dynamique_Pa,2.093099004023304
dp_helice_Pa,414.0230362631076
dp_droits_Pa,34.628297489048784
dp_accessoires_Pa,41.86198008046608
dp_total_Pa,3490.5133138326223
dp_selection_Pa,4363.141642290778
hauteur_selection_m,0.4483515054473276
pompe_hydraulique_W,0.048657599999999995
capacite_J_K,2210949.3737155055
masse_suspension_kg,513.3850176352884
equilibre_C,42.69976812452266
demarrage_h,20.347781085291725
recuperation_h,1.3767160580248816
temperature_apres_apport_C,34.41564325078703
recuperation_auxiliaires_chauds_h,1.3376461871328806
demarrage_sensible_kWh,9.21228905714794
demarrage_pertes_kWh,0.5392071753842499
demarrage_chaleur_recue_kWh,9.751496232532197
puissance_initiale_W,740.7513250775141
plafond_initial_serpentin_W,1036.6399999999999
marge_generateur_W,138.36000000000013
pression_hydrostatique_Pa,9653.039999999999
