hb_W_m2K,U_W_m2K,puissance_consigne_W,demarrage_h,recuperation_h
10,9.159991586676197,118.03814560858291,57.93925082598963,4.645989299642397
20,16.900340363974916,191.1674893800931,32.90059427094294,2.353315801625708
30,23.52734175633537,239.26927599522247,25.652832082131933,1.7766733529909537
50,34.281319285512865,296.3005300310056,20.347781085291725,1.3767160580248816
100,52.16373626617222,353.1160713042445,16.874685067719895,1.1245273221882341
